FA0147	1	15	1300	1400	1500	1600
FA0111	1	17	1400	1500	1600	1700
FA0150	1	22	1300	1400	1500	1600
FA0113	1	36	1300	1400	1500	1600
FA0156	1	37	1300	1400	1500	1600
FA0133	1	38	1200	1300	1400	1500
FA0129	2	33	1300	1400	1500	1600
FA0116	2	34	1400	1500	1600	1700
FA0105	2	35	1400	1500	1600	1700
FA0112	2	42	1300	1400	1500	1600
FA0157	2	43	1400	1500	1600	1700
FA0139	3	19	1400	1500	1600	1700
FA0104	3	21	1200	1300	1400	1500
FA0107	3	23	1400	1500	1600	1700
FA0153	3	32	1300	1400	1500	1600
FA0151	3	39	1300	1400	1500	1600
FA0137	3	40	1500	1600	1700	1800
FA0134	3	41	1300	1400	1500	1600
FA0146	4	0	1200	1300	1400	1500
FA0121	4	1	1400	1500	1600	1700
FA0119	4	2	1400	1500	1600	1700
FA0115	4	8	1400	1500	1600	1700
FA0136	4	14	1200	1300	1400	1500
FA0106	4	16	1400	1500	1600	1700
FC0005	5	6	1200	1300	1400	1500
FC0004	5	7	1400	1500	1600	1700
FA0155	5	11	1400	1500	1600	1700
FA0149	5	12	1300	1400	1500	1600
FA0122	5	13	1300	1400	1500	1600
FA0114	6	3	1200	1300	1400	1500
FA0148	6	4	1300	1400	1500	1600
FA0135	6	5	1400	1500	1600	1700
FA0110	6	9	1200	1300	1400	1500
FA0124	6	10	1600	1700	1800	1800
FA0132	6	18	1300	1400	1500	1600
FA0130	6	20	1300	1400	1500	1600
